case_id,packet_index,seed,scheme,checktype,error_mode,burst_length,error_start,error_end,error_length,error_region,packet_hex,receiver_checktype,detected,invalid_metadata,validation_time_ns
1,6,8142026,crc32,2,clean,0,-1,-1,0,none,41414242434358595a595a580200002c6e646572697420696e20766f6c7570746174652076656c697420657373652063696c6c756d20646f6c6f7265d2290007,2,0,0,1057
1,7,8142026,crc32,2,clean,0,-1,-1,0,none,41414242434358595a595a580200002c20657520667567696174206e756c6c612070617269617475722e204578636570746575722073696e74206f63757d17e0,2,0,0,1045
1,8,8142026,crc32,2,clean,0,-1,-1,0,none,41414242434358595a595a580200002c63616563617420637570696461746174206e6f6e2070726f6964656e742c2073756e7420696e2063756c70610b098a80,2,0,0,1070
1,9,8142026,crc32,2,clean,0,-1,-1,0,none,41414242434358595a595a580200002c20717569206f666669636961206465736572756e74206d6f6c6c697420616e696d20696420657374206c6162f8045c5a,2,0,0,1240
1,10,8142026,crc32,2,clean,0,-1,-1,0,none,41414242434358595a595a58020000056f72756d2e000000000000000000000000000000000000000000000000000000000000000000000000000000075e72e8,2,0,0,1160
1,0,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c6c6f72656d20697073756d20646f6c6f722073697420616d65742c20636f6e736563746574757220616469700000026c,3,0,0,2140
1,1,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c697363696e6720656c69742e2053656420646f20656975736d6f642074656d706f7220696e6369646964756e000002af,3,0,0,1444
1,2,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c74207574206c61626f726520657420646f6c6f7265206d61676e6120616c697175612e20557420656e696d2000000030,3,0,0,1287
1,3,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c6164206d696e696d2076656e69616d2c2071756973206e6f737472756420657865726369746174696f6e20750000014a,3,0,0,1200
1,4,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c6c6c616d636f206c61626f726973206e69736920757420616c697175697020657820656120636f6d6d6f646f000003c8,3,0,0,1069
1,5,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c20636f6e7365717561742e2044756973206175746520697275726520646f6c6f7220696e207265707265686500000364,3,0,0,1182
1,6,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c6e646572697420696e20766f6c7570746174652076656c697420657373652063696c6c756d20646f6c6f7265000003f9,3,0,0,1192
1,7,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c20657520667567696174206e756c6c612070617269617475722e204578636570746575722073696e74206f630000035f,3,0,0,1225
1,8,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c63616563617420637570696461746174206e6f6e2070726f6964656e742c2073756e7420696e2063756c706100000171,3,0,0,1431
1,9,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a580300002c20717569206f666669636961206465736572756e74206d6f6c6c697420616e696d20696420657374206c6162000001bb,3,0,0,1213
1,10,8142026,crc10,3,clean,0,-1,-1,0,none,41414242434358595a595a58030000056f72756d2e0000000000000000000000000000000000000000000000000000000000000000000000000000000000032e,3,0,0,1215
1,0,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c6c6f72656d20697073756d20646f6c6f722073697420616d65742c20636f6e736563746574757220616469700000003a,4,0,0,2755
1,1,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c697363696e6720656c69742e2053656420646f20656975736d6f642074656d706f7220696e6369646964756e000000eb,4,0,0,461
1,2,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c74207574206c61626f726520657420646f6c6f7265206d61676e6120616c697175612e20557420656e696d200000008a,4,0,0,243
1,3,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c6164206d696e696d2076656e69616d2c2071756973206e6f737472756420657865726369746174696f6e2075000000df,4,0,0,233
1,4,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c6c6c616d636f206c61626f726973206e69736920757420616c697175697020657820656120636f6d6d6f646f0000001b,4,0,0,228
1,5,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c20636f6e7365717561742e2044756973206175746520697275726520646f6c6f7220696e207265707265686500000041,4,0,0,585
1,6,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c6e646572697420696e20766f6c7570746174652076656c697420657373652063696c6c756d20646f6c6f72650000004c,4,0,0,378
1,7,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c20657520667567696174206e756c6c612070617269617475722e204578636570746575722073696e74206f63000000e0,4,0,0,228
1,8,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c63616563617420637570696461746174206e6f6e2070726f6964656e742c2073756e7420696e2063756c70610000006a,4,0,0,228
1,9,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a580400002c20717569206f666669636961206465736572756e74206d6f6c6c697420616e696d20696420657374206c616200000093,4,0,0,231
1,10,8142026,crc8,4,clean,0,-1,-1,0,none,41414242434358595a595a58040000056f72756d2e00000000000000000000000000000000000000000000000000000000000000000000000000000000000092,4,0,0,231
2,0,8142027,checksum,0,single_bit,0,10,10,1,mac_header,41414242434358595a595b580000002c6c6f72656d20697073756d20646f6c6f722073697420616d65742c20636f6e7365637465747572206164697000001b65,0,1,0,4228
2,1,8142027,checksum,0,single_bit,0,36,36,1,payload,41414242434358595a595a580000002c697363696e6720656c69742e2053656420646f20646975736d6f642074656d706f7220696e6369646964756e000005cc,0,1,0,497
2,2,8142027,checksum,0,single_bit,0,4,4,1,mac_header,41414242424358595a595a580000002c74207574206c61626f726520657420646f6c6f7265206d61676e6120616c697175612e20557420656e696d2000002c81,0,1,0,376
2,3,8142027,checksum,0,single_bit,0,54,54,1,payload,41414242434358595a595a580000002c6164206d696e696d2076656e69616d2c2071756973206e6f737472756420657865726369746175696f6e20750000126b,0,1,0,237
2,4,8142027,checksum,0,single_bit,0,4,4,1,mac_header,41414242424358595a595a580000002c6c6c616d636f206c61626f726973206e69736920757420616c697175697020657820656120636f6d6d6f646f00007047,0,1,0,256
2,5,8142027,checksum,0,single_bit,0,25,25,1,payload,41414242434358595a595a580000002c20636f6e7365717561752e2044756973206175746520697275726520646f6c6f7220696e207265707265686500002dc2,0,1,0,224
2,6,8142027,checksum,0,single_bit,0,9,9,1,mac_header,41414242434358595a585a580000002c6e646572697420696e20766f6c7570746174652076656c697420657373652063696c6c756d20646f6c6f726500006fcd,0,1,0,267
2,7,8142027,checksum,0,single_bit,0,31,31,1,payload,41414242434358595a595a580000002c20657520667567696174206e756c6c602070617269617475722e204578636570746575722073696e74206f6300003daf,0,1,0,279
2,8,8142027,checksum,0,single_bit,0,32,32,1,payload,41414242434358595a595a580000002c63616563617420637570696461746174216e6f6e2070726f6964656e742c2073756e7420696e2063756c70610000604b,0,1,0,229
2,9,8142027,checksum,0,single_bit,0,47,47,1,payload,41414242434358595a595a580000002c20717569206f666669636961206465736572756e74206d6f6c6c697420616e686d20696420657374206c61620000a96c,0,1,0,273
2,10,8142027,checksum,0,single_bit,0,30,30,1,payload,41414242434358595a595a58000000056f72756d2e00000000000000000001000000000000000000000000000000000000000000000000000000000000001949,0,1,0,208
2,0,8142027,crc16,1,single_bit,0,10,10,1,mac_header,41414242434358595a595b580100002c6c6f72656d20697073756d20646f6c6f722073697420616d65742c20636f6e736563746574757220616469700000b1b4,1,1,0,3331
2,1,8142027,crc16,1,single_bit,0,36,36,1,payload,41414242434358595a595a580100002c697363696e6720656c69742e2053656420646f20646975736d6f642074656d706f7220696e6369646964756e00007acb,1,1,0,1114
2,2,8142027,crc16,1,single_bit,0,4,4,1,mac_header,41414242424358595a595a580100002c74207574206c61626f726520657420646f6c6f7265206d61676e6120616c697175612e20557420656e696d200000ed13,1,1,0,446
2,3,8142027,crc16,1,single_bit,0,54,54,1,payload,41414242434358595a595a580100002c6164206d696e696d2076656e69616d2c2071756973206e6f737472756420657865726369746175696f6e2075000048ae,1,1,0,579
2,4,8142027,crc16,1,single_bit,0,4,4,1,mac_header,41414242424358595a595a580100002c6c6c616d636f206c61626f726973206e69736920757420616c697175697020657820656120636f6d6d6f646f0000e20f,1,1,0,493
2,5,8142027,crc16,1,single_bit,0,25,25,1,payload,41414242434358595a595a580100002c20636f6e7365717561752e2044756973206175746520697275726520646f6c6f7220696e20726570726568650000d0bc,1,1,0,471
2,6,8142027,crc16,1,single_bit,0,9,9,1,mac_header,41414242434358595a585a580100002c6e646572697420696e20766f6c7570746174652076656c697420657373652063696c6c756d20646f6c6f726500006538,1,1,0,480
2,7,8142027,crc16,1,single_bit,0,31,31,1,payload,41414242434358595a595a580100002c20657520667567696174206e756c6c602070617269617475722e204578636570746575722073696e74206f630000cc9b,1,1,0,449
2,8,8142027,crc16,1,single_bit,0,32,32,1,payload,41414242434358595a595a580100002c63616563617420637570696461746174216e6f6e2070726f6964656e742c2073756e7420696e2063756c706100004130,1,1,0,462
2,9,8142027,crc16,1,single_bit,0,47,47,1,payload,41414242434358595a595a580100002c20717569206f666669636961206465736572756e74206d6f6c6c697420616e686d20696420657374206c61620000d04a,1,1,0,478
2,10,8142027,crc16,1,single_bit,0,30,30,1,payload,41414242434358595a595a58010000056f72756d2e00000000000000000001000000000000000000000000000000000000000000000000000000000000005a25,1,1,0,466
2,0,8142027,crc32,2,single_bit,0,10,10,1,mac_header,41414242434358595a595b580200002c6c6f72656d20697073756d20646f6c6f722073697420616d65742c20636f6e73656374657475722061646970763f874d,2,1,0,6496
