case_id,packet_index,seed,error_mode,burst_length,detected_checksum,detected_crc10,detected_crc16,detected_crc32,time_checksum,time_crc10,time_crc16,time_crc32,detected_by,failed_by
5,10,8142031,burst,13,1,1,1,1,320,1958,3033,1246,"checksum,crc10,crc16,crc32",
6,0,8142032,burst,14,1,1,1,1,2326,1050,954,1142,"checksum,crc10,crc16,crc32",
6,1,8142032,burst,14,1,1,1,1,1194,6597,1681,3359,"checksum,crc10,crc16,crc32",
6,2,8142032,burst,14,1,1,1,1,456,2288,594,1429,"checksum,crc10,crc16,crc32",
6,3,8142032,burst,14,1,1,1,1,249,2470,483,1342,"checksum,crc10,crc16,crc32",
6,4,8142032,burst,14,1,1,1,1,257,2082,543,1308,"checksum,crc10,crc16,crc32",
6,5,8142032,burst,14,1,1,1,1,295,2147,446,1299,"checksum,crc10,crc16,crc32",
6,6,8142032,burst,14,1,1,1,1,350,604,362,303,"checksum,crc10,crc16,crc32",
6,7,8142032,burst,14,1,1,1,1,310,2124,495,1416,"checksum,crc10,crc16,crc32",
6,8,8142032,burst,14,1,1,1,1,304,2092,444,1513,"checksum,crc10,crc16,crc32",
6,9,8142032,burst,14,1,1,1,1,293,2093,601,1556,"checksum,crc10,crc16,crc32",
6,10,8142032,burst,14,1,1,1,1,228,365,185,195,"checksum,crc10,crc16,crc32",
7,0,8142033,burst,15,1,1,1,1,1544,3315,3453,5767,"checksum,crc10,crc16,crc32",
7,1,8142033,burst,15,1,1,1,1,3078,4306,3193,5035,"checksum,crc10,crc16,crc32",
7,2,8142033,burst,15,1,1,1,1,465,4135,971,1871,"checksum,crc10,crc16,crc32",
7,3,8142033,burst,15,1,1,1,1,253,3988,740,1972,"checksum,crc10,crc16,crc32",
7,4,8142033,burst,15,1,1,1,1,241,4234,1027,1695,"checksum,crc10,crc16,crc32",
7,5,8142033,burst,15,1,1,1,1,388,1614,585,454,"checksum,crc10,crc16,crc32",
